school,rating,id,conference,level,rd,volatility
Jacksonville,1000.0,560573,A-Sun,mid-major,600.0,0.06
Jacksonville St.,1000.0,560571,C-USA,mid-major,600.0,0.06
James Madison,1000.0,560575,Sunbelt,mid-major,600.0,0.06
Kansas,1500.0,560579,Big 12,power,600.0,0.06
Kansas City,1000.0,560626,Summit,mid-major,600.0,0.06
Kansas St.,1500.0,560577,Big 12,power,600.0,0.06
Kennesaw St.,1000.0,560616,A-Sun,mid-major,600.0,0.06
Kent St.,1000.0,560581,MAC,mid-major,600.0,0.06
Kentucky,1500.0,560583,SEC,power,600.0,0.06
LIU,1000.0,560596,NEC,mid-major,600.0,0.06
LMU (CA),1000.0,560733,WCC,mid-major,600.0,0.06
LSU,1500.0,560600,SEC,power,600.0,0.06
La Salle,1000.0,560585,A-10,mid-major,600.0,0.06
Lafayette,1000.0,560587,Patriot,mid-major,600.0,0.06
Lamar University,1000.0,560589,Southland,mid-major,600.0,0.06
Le Moyne,1000.0,561749,NEC,mid-major,600.0,0.06
Lehigh,1000.0,560591,Patriot,mid-major,600.0,0.06
Liberty,1000.0,560593,C-USA,mid-major,600.0,0.06
Lindenwood,1000.0,560555,OVC,mid-major,600.0,0.06
Lipscomb,1000.0,560641,A-Sun,mid-major,600.0,0.06
Little Rock,1000.0,560678,OVC,mid-major,600.0,0.06
Long Beach St.,1000.0,560721,Big West,mid-major,600.0,0.06
Longwood,1000.0,560598,Big South,mid-major,600.0,0.06
Louisiana,1000.0,561145,Sunbelt,mid-major,600.0,0.06
Louisiana Tech,1000.0,560602,C-USA,mid-major,600.0,0.06
Louisville,1500.0,560604,ACC,power,600.0,0.06
Loyola Chicago,1000.0,560735,A-10,mid-major,600.0,0.06
Loyola Maryland,1000.0,560731,Patriot,mid-major,600.0,0.06
Maine,1000.0,560736,Am. East,mid-major,600.0,0.06
Manhattan,1000.0,560738,MAAC,mid-major,600.0,0.06
Marist,1000.0,560740,MAAC,mid-major,600.0,0.06
Marquette,1500.0,560742,Big East,power,600.0,0.06
Marshall,1000.0,560744,Sunbelt,mid-major,600.0,0.06
Maryland,1500.0,560747,Big 10,power,600.0,0.06
Massachusetts,1000.0,560752,A-10,mid-major,600.0,0.06
McNeese,1000.0,560755,Southland,mid-major,600.0,0.06
Memphis,1500.0,560756,AAC,power,600.0,0.06
Mercer,1000.0,560758,Southern,mid-major,600.0,0.06
Merrimack,1000.0,561096,NEC,mid-major,600.0,0.06
Miami (FL),1500.0,560763,ACC,power,600.0,0.06
Miami (OH),1000.0,560761,MAC,mid-major,600.0,0.06
Michigan,1500.0,560767,Big 10,power,600.0,0.06
Michigan St.,1500.0,560765,Big 10,power,600.0,0.06
Middle Tenn.,1000.0,560769,C-USA,mid-major,600.0,0.06
Milwaukee,1000.0,561253,Horizon,mid-major,600.0,0.06
Minnesota,1500.0,560772,Big 10,power,600.0,0.06
Mississippi St.,1500.0,560773,SEC,power,600.0,0.06
Mississippi Val.,1000.0,560775,SWAC,mid-major,600.0,0.06
Missouri,1500.0,560780,SEC,power,600.0,0.06
Missouri St.,1000.0,561141,MVC,mid-major,600.0,0.06
Monmouth,1000.0,560781,CAA,mid-major,600.0,0.06
Montana,1000.0,560785,Big Sky,mid-major,600.0,0.06
Montana St.,1000.0,560783,Big Sky,mid-major,600.0,0.06
Morehead St.,1000.0,560787,OVC,mid-major,600.0,0.06
Morgan St.,1000.0,560789,MEAC,mid-major,600.0,0.06
Mount St. Mary's,1000.0,560791,MAAC,mid-major,600.0,0.06
Murray St.,1000.0,560792,MVC,mid-major,600.0,0.06
N.C. A&T,1000.0,560974,CAA,mid-major,600.0,0.06
N.C. Central,1000.0,560976,MEAC,mid-major,600.0,0.06
NC State,1500.0,560978,ACC,power,600.0,0.06
NIU,1000.0,560994,MAC,mid-major,600.0,0.06
NJIT,1000.0,560961,Am. East,mid-major,600.0,0.06
Navy,1000.0,561199,Patriot,mid-major,600.0,0.06
Nebraska,1500.0,560804,Big 10,power,600.0,0.06
Nevada,1000.0,560810,MWC,mid-major,600.0,0.06
New Hampshire,1000.0,560958,Am. East,mid-major,600.0,0.06
New Mexico,1000.0,560964,MWC,mid-major,600.0,0.06
New Mexico St.,1000.0,560963,C-USA,mid-major,600.0,0.06
New Orleans,1000.0,560966,Southland,mid-major,600.0,0.06
Niagara,1000.0,560968,MAAC,mid-major,600.0,0.06
Nicholls,1000.0,560970,Southland,mid-major,600.0,0.06
Norfolk St.,1000.0,560972,MEAC,mid-major,600.0,0.06
North Ala.,1000.0,560647,A-Sun,mid-major,600.0,0.06
North Carolina,1500.0,560796,ACC,power,600.0,0.06
North Dakota,1000.0,560981,Summit,mid-major,600.0,0.06
North Dakota St.,1000.0,560980,Summit,mid-major,600.0,0.06
North Florida,1000.0,560628,A-Sun,mid-major,600.0,0.06
North Texas,1500.0,560983,AAC,power,600.0,0.06
Northeastern,1000.0,560988,CAA,mid-major,600.0,0.06
Northern Ariz.,1000.0,560989,Big Sky,mid-major,600.0,0.06
Northern Colo.,1000.0,560992,Big Sky,mid-major,600.0,0.06
Northern Ky.,1000.0,560998,Horizon,mid-major,600.0,0.06
Northwestern,1500.0,561002,Big 10,power,600.0,0.06
Northwestern St.,1000.0,561000,Southland,mid-major,600.0,0.06
Notre Dame,1500.0,561004,ACC,power,600.0,0.06
Oakland,1000.0,561006,Horizon,mid-major,600.0,0.06
Ohio,1000.0,561010,MAC,mid-major,600.0,0.06
Ohio St.,1500.0,561008,Big 10,power,600.0,0.06
Oklahoma,1500.0,561014,Big 12,power,600.0,0.06
Oklahoma St.,1500.0,561012,Big 12,power,600.0,0.06
Old Dominion,1000.0,561016,Sunbelt,mid-major,600.0,0.06
Ole Miss,1500.0,560777,SEC,power,600.0,0.06
Omaha,1000.0,560806,Summit,mid-major,600.0,0.06
Oral Roberts,1000.0,561018,Summit,mid-major,600.0,0.06
Oregon,1500.0,561022,Pac 12,power,600.0,0.06
Oregon St.,1500.0,561020,Pac 12,power,600.0,0.06
Pacific,1000.0,561024,WCC,mid-major,600.0,0.06
Penn,1000.0,561029,Ivy,mid-major,600.0,0.06
Penn St.,1500.0,561028,Big 10,power,600.0,0.06
Pepperdine,1000.0,561031,WCC,mid-major,600.0,0.06
Pittsburgh,1500.0,561033,ACC,power,600.0,0.06
Portland,1000.0,561036,WCC,mid-major,600.0,0.06
Portland St.,1000.0,561035,Big Sky,mid-major,600.0,0.06
Prairie View,1000.0,561038,SWAC,mid-major,600.0,0.06
Presbyterian,1000.0,560618,Big South,mid-major,600.0,0.06
Princeton,1000.0,561040,Ivy,mid-major,600.0,0.06
Providence,1500.0,561042,Big East,power,600.0,0.06
Purdue,1500.0,561044,Big 10,power,600.0,0.06
Purdue Fort Wayne,1000.0,560560,Horizon,mid-major,600.0,0.06
Queens (NC),1000.0,560552,A-Sun,mid-major,600.0,0.06
Quinnipiac,1000.0,561047,MAAC,mid-major,600.0,0.06
Radford,1000.0,561049,Big South,mid-major,600.0,0.06
Rhode Island,1000.0,561050,A-10,mid-major,600.0,0.06
Rice,1500.0,561052,AAC,power,600.0,0.06
Richmond,1000.0,561055,A-10,mid-major,600.0,0.06
Rider,1000.0,561056,MAAC,mid-major,600.0,0.06
Robert Morris,1000.0,561059,Horizon,mid-major,600.0,0.06
Rutgers,1500.0,561061,Big 10,power,600.0,0.06
SFA,1000.0,561150,WAC,mid-major,600.0,0.06
SIUE,1000.0,561131,OVC,mid-major,600.0,0.06
SMU,1500.0,561133,AAC,power,600.0,0.06
Sacramento St.,1000.0,560726,Big Sky,mid-major,600.0,0.06
Sacred Heart,1000.0,561063,NEC,mid-major,600.0,0.06
Saint Francis (PA),1000.0,561072,NEC,mid-major,600.0,0.06
Saint Joseph's,1000.0,561077,A-10,mid-major,600.0,0.06
Saint Louis,1000.0,561078,A-10,mid-major,600.0,0.06
Saint Mary's (CA),1000.0,561080,WCC,mid-major,600.0,0.06
Saint Peter's,1000.0,561082,MAAC,mid-major,600.0,0.06
Sam Houston,1000.0,561084,C-USA,mid-major,600.0,0.06
Samford,1000.0,561086,Southern,mid-major,600.0,0.06
San Diego,1000.0,561090,WCC,mid-major,600.0,0.06
San Diego St.,1000.0,561088,MWC,mid-major,600.0,0.06
San Francisco,1000.0,561091,WCC,mid-major,600.0,0.06
San Jose St.,1000.0,561092,MWC,mid-major,600.0,0.06
Santa Clara,1000.0,561108,WCC,mid-major,600.0,0.06
Seattle U,1000.0,560620,WAC,mid-major,600.0,0.06
Seton Hall,1500.0,561110,Big East,power,600.0,0.06
Siena,1000.0,561112,MAAC,mid-major,600.0,0.06
South Alabama,1000.0,561113,Sunbelt,mid-major,600.0,0.06
South Carolina,1500.0,561117,SEC,power,600.0,0.06
South Carolina St.,1000.0,561115,MEAC,mid-major,600.0,0.06
South Dakota,1000.0,561121,Summit,mid-major,600.0,0.06
South Dakota St.,1000.0,561119,Summit,mid-major,600.0,0.06
South Fla.,1500.0,561122,AAC,power,600.0,0.06
Southeast Mo. St.,1000.0,561124,OVC,mid-major,600.0,0.06
Southeastern La.,1000.0,561126,Southland,mid-major,600.0,0.06
Southern California,1500.0,561127,Pac 12,power,600.0,0.06
Southern Ill.,1000.0,561129,MVC,mid-major,600.0,0.06
Southern Ind.,1000.0,561269,OVC,mid-major,600.0,0.06
Southern Miss.,1000.0,561134,Sunbelt,mid-major,600.0,0.06
Southern U.,1000.0,561136,SWAC,mid-major,600.0,0.06
Southern Utah,1000.0,561139,WAC,mid-major,600.0,0.06
St. Bonaventure,1000.0,561067,A-10,mid-major,600.0,0.06
St. John's (NY),1500.0,561074,Big East,power,600.0,0.06
St. Thomas (MN),1000.0,561106,Summit,mid-major,600.0,0.06
Stanford,1500.0,561147,Pac 12,power,600.0,0.06
Stetson,1000.0,561152,A-Sun,mid-major,600.0,0.06
Stonehill,1000.0,561271,NEC,mid-major,600.0,0.06
Stony Brook,1000.0,561154,CAA,mid-major,600.0,0.06
Syracuse,1500.0,561156,ACC,power,600.0,0.06
TCU,1500.0,561172,Big 12,power,600.0,0.06
Tarleton St.,1000.0,561104,WAC,mid-major,600.0,0.06
Temple,1500.0,561158,AAC,power,600.0,0.06
Tennessee,1500.0,561166,SEC,power,600.0,0.06
Tennessee St.,1000.0,561160,OVC,mid-major,600.0,0.06
Tennessee Tech,1000.0,561162,OVC,mid-major,600.0,0.06
Tex. A&M-Commerce,1000.0,561267,Southland,mid-major,600.0,0.06
Texas,1500.0,561179,Big 12,power,600.0,0.06
Texas A&M,1500.0,561170,SEC,power,600.0,0.06
Texas Southern,1000.0,561174,SWAC,mid-major,600.0,0.06
Texas St.,1000.0,561143,Sunbelt,mid-major,600.0,0.06
Texas Tech,1500.0,561176,Big 12,power,600.0,0.06
The Citadel,1000.0,560834,Southern,mid-major,600.0,0.06
Toledo,1000.0,561186,MAC,mid-major,600.0,0.06
Towson,1000.0,561188,CAA,mid-major,600.0,0.06
Troy,1000.0,561190,Sunbelt,mid-major,600.0,0.06
Tulane,1500.0,561192,AAC,power,600.0,0.06
Tulsa,1500.0,561194,AAC,power,600.0,0.06
UAB,1500.0,560659,AAC,power,600.0,0.06
