school,id,conference,level,rating,rd,volatility,wins,losses
Purdue Fort Wayne,560560.0,Horizon,mid-major,1064.57,69.2607,0.0603323,13,7
Queens (NC),560552.0,A-Sun,mid-major,955.608,68.6535,0.0599897,7,13
Quinnipiac,561047.0,MAAC,mid-major,1229.73,73.8157,0.0597049,14,4
Radford,561049.0,Big South,mid-major,1165.45,70.0159,0.0600202,12,8
Rhode Island,561050.0,A-10,mid-major,1262.44,66.6993,0.0602559,9,9
Rice,561052.0,AAC,power,1032.66,71.0359,0.059749,7,11
Richmond,561055.0,A-10,mid-major,1519.4,67.5136,0.0599226,13,5
Rider,561056.0,MAAC,mid-major,809.584,72.6014,0.0601166,5,13
Robert Morris,561059.0,Horizon,mid-major,865.304,72.3191,0.0596747,8,12
Rutgers,561061.0,Big 10,power,1505.04,67.6845,0.0598409,10,8
SFA,561150.0,WAC,mid-major,1253.34,68.8871,0.0602335,12,6
SIUE,561131.0,OVC,mid-major,964.764,69.5084,0.0602992,11,9
SMU,561133.0,AAC,power,1536.71,73.2109,0.0596416,13,5
Sacramento St.,560726.0,Big Sky,mid-major,911.144,69.1564,0.0600254,6,13
Sacred Heart,561063.0,NEC,mid-major,885.816,67.5426,0.059751,10,10
Saint Francis (PA),561072.0,NEC,mid-major,662.38,67.9193,0.0597704,6,13
Saint Joseph's,561077.0,A-10,mid-major,1344.64,69.6407,0.0605713,12,6
Saint Louis,561078.0,A-10,mid-major,1267.79,66.9997,0.0598034,8,10
Saint Mary's (CA),561080.0,WCC,mid-major,1570.02,70.0344,0.0603432,14,6
Saint Peter's,561082.0,MAAC,mid-major,1124.78,68.9878,0.0598151,10,6
Sam Houston,561084.0,C-USA,mid-major,1156.19,69.7243,0.0599917,10,9
Samford,561086.0,Southern,mid-major,1640.35,88.8197,0.0598865,17,2
San Diego,561090.0,WCC,mid-major,1154.63,69.213,0.0599185,10,10
San Diego St.,561088.0,MWC,mid-major,1684.3,69.6534,0.059677,15,4
San Francisco,561091.0,WCC,mid-major,1476.3,74.0068,0.059528,15,5
San Jose St.,561092.0,MWC,mid-major,1061.99,68.9678,0.0604,8,10
Santa Clara,561108.0,WCC,mid-major,1444.93,70.6932,0.0604571,14,7
Seattle U,560620.0,WAC,mid-major,1222.22,66.7997,0.0604082,11,8
Seton Hall,561110.0,Big East,power,1656.82,67.4219,0.0604282,13,6
Siena,561112.0,MAAC,mid-major,678.763,74.1306,0.0598938,3,15
South Alabama,561113.0,Sunbelt,mid-major,1064.93,66.9416,0.0599382,10,9
South Carolina,561117.0,SEC,power,1726.92,73.3594,0.0598264,15,3
South Carolina St.,561115.0,MEAC,mid-major,809.936,74.224,0.060192,5,14
South Dakota,561121.0,Summit,mid-major,911.4,67.1721,0.0599963,9,11
South Dakota St.,561119.0,Summit,mid-major,1169.69,66.1532,0.0598983,11,9
South Fla.,561122.0,AAC,power,1416.78,69.2415,0.0607596,11,5
Southeast Mo. St.,561124.0,OVC,mid-major,704.799,75.6065,0.0599624,7,12
Southeastern La.,561126.0,Southland,mid-major,807.213,72.8257,0.0599048,6,12
Southern California,561127.0,Pac 12,power,1352.01,66.9413,0.0601482,8,11
Southern Ill.,561129.0,MVC,mid-major,1290.92,66.8636,0.0597076,12,7
Southern Ind.,561269.0,OVC,mid-major,622.772,79.52,0.0599497,5,15
Southern Miss.,561134.0,Sunbelt,mid-major,1198.51,68.6847,0.0603897,11,8
Southern U.,561136.0,SWAC,mid-major,1003.93,76.5057,0.060683,9,9
Southern Utah,561139.0,WAC,mid-major,923.7,69.4023,0.0597288,6,12
St. Bonaventure,561067.0,A-10,mid-major,1340.47,69.3537,0.0601668,11,6
St. John's (NY),561074.0,Big East,power,1617.38,65.8439,0.0598978,12,7
St. Thomas (MN),561106.0,Summit,mid-major,1099.13,66.5369,0.0599078,13,7
Stanford,561147.0,Pac 12,power,1456.45,64.719,0.060187,10,8
Stetson,561152.0,A-Sun,mid-major,1109.89,68.4216,0.060668,11,9
Stonehill,561271.0,NEC,mid-major,354.413,94.6631,0.0598872,2,19
Stony Brook,561154.0,CAA,mid-major,1095.15,69.2435,0.0598611,9,9
Syracuse,561156.0,ACC,power,1694.71,67.7675,0.0597087,13,5
TCU,561172.0,Big 12,power,1631.97,72.8424,0.0601303,13,5
Tarleton St.,561104.0,WAC,mid-major,1280.71,72.2494,0.0599041,12,6
Temple,561158.0,AAC,power,1069.04,68.2193,0.0602015,8,11
Tennessee,561166.0,SEC,power,1904.29,69.7335,0.0598122,14,4
Tennessee St.,561160.0,OVC,mid-major,953.923,69.7901,0.0603063,11,9
Tennessee Tech,561162.0,OVC,mid-major,776.591,70.3989,0.0596823,7,12
Tex. A&M-Commerce,561267.0,Southland,mid-major,893.644,78.295,0.0605031,7,10
Texas,561179.0,Big 12,power,1594.47,71.2086,0.0600339,13,5
Texas A&M,561170.0,SEC,power,1591.12,67.2963,0.0600231,11,7
Texas Southern,561174.0,SWAC,mid-major,773.491,75.5082,0.0599899,5,11
Texas St.,561143.0,Sunbelt,mid-major,900.497,70.0243,0.0602231,7,12
Texas Tech,561176.0,Big 12,power,1737.62,74.651,0.05997,15,3
The Citadel,560834.0,Southern,mid-major,875.147,73.7439,0.0603269,8,11
Toledo,561186.0,MAC,mid-major,1301.23,67.051,0.0597735,11,7
Towson,561188.0,CAA,mid-major,1249.81,69.1755,0.0601476,11,8
Troy,561190.0,Sunbelt,mid-major,1143.72,67.476,0.0601047,11,8
Tulane,561192.0,AAC,power,1401.65,69.145,0.0597556,12,6
Tulsa,561194.0,AAC,power,1107.85,69.5256,0.0601812,10,8
UAB,560659.0,AAC,power,1438.98,69.2946,0.0602364,12,6
UAlbany,560662.0,Am. East,mid-major,1033.52,68.6871,0.0594337,10,9
UC Davis,560813.0,Big West,mid-major,1248.36,66.5575,0.0600992,12,7
UC Irvine,560815.0,Big West,mid-major,1394.15,69.1145,0.0598685,13,6
UC Riverside,560819.0,Big West,mid-major,1025.37,66.3981,0.0599643,8,12
UC San Diego,561100.0,Big West,mid-major,1229.57,66.4164,0.0599163,12,7
UC Santa Barbara,560727.0,Big West,mid-major,1159.02,64.966,0.0599938,11,7
UCF,560826.0,Big 12,power,1542.46,72.3387,0.0601623,11,6
UCLA,560817.0,Pac 12,power,1279.39,70.5062,0.0600842,8,11
UConn,560851.0,Big East,power,1951.69,80.024,0.0599969,17,2
UIC,560956.0,MVC,mid-major,994.654,66.2634,0.0604136,8,11
UIW,560631.0,Southland,mid-major,684.589,71.5569,0.060107,5,12
ULM,560985.0,Sunbelt,mid-major,771.725,72.9332,0.0599661,5,12
UMBC,560746.0,Am. East,mid-major,655.954,75.0395,0.0602011,6,14
UMES,560750.0,MEAC,mid-major,591.005,81.0857,0.0601246,4,12
UMass Lowell,560606.0,Am. East,mid-major,1240.62,75.265,0.0601931,14,4
UNC Asheville,560795.0,Big South,mid-major,1264.26,67.1882,0.0597851,12,8
